'product_sku','product_name','manufacturer_name','product_price','related_product','category_path','product_parent_sku','published','product_in_stock','product_s_desc','metaauthor','metadesc','metakey','customtitle','file_description','file_meta','file_ordering','file_title','file_url','file_url_thumbs'
'201414001_2014-09-27_010_EPR_2014-09-27_194840459_1','1/ Sous X','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Pro 2 Vitesse (1,35 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 010/Pro 2 Vitesse (1,35 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,010,Pro 2 Vitesse (1,35 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_010_EPR_2014-09-27_194952231_2','2/ Sous X','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Pro 2 Vitesse (1,35 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 010/Pro 2 Vitesse (1,35 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,010,Pro 2 Vitesse (1,35 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_010_EPR_2014-09-27_194959678_6','6/Monika GUILLON','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Pro 2 Vitesse (1,35 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 010/Pro 2 Vitesse (1,35 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,010,Pro 2 Vitesse (1,35 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_010_EPR_2014-09-27_195008485_4','4/Maxime MAURAS','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Pro 2 Vitesse (1,35 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 010/Pro 2 Vitesse (1,35 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,010,Pro 2 Vitesse (1,35 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_201814494_1','1/ Sous X','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_202911141_2','2/ Sous X','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_202920368_3','3/ Sous X','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_203404570_5','5/Emmanuelle MORIN','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_203417364_6','6/Marine BOUTON','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
'201414001_2014-09-27_001_EPR_2014-09-27_203424942_7','7/Marie PAILLOUX','mOOvIIdeo','15','','Deauville Grand National 06/06 au 08/06@27 Septembre@Préparatoire (1,20 m)','','1','0','<table border="0"><tbody><tr><td>[code_cavalier_ffe][/code_cavalier_ffe]</td><td>[code_cav] [/code_cav]</td><td>[code_che][/code_che]</td><td>[code_cen][/code_cen]</td></tr></tbody></table>','Deauville Grand National 06/06 au 08/06 - 27 Septembre<br/>Epreuve : 001/Préparatoire (1,20 m)<br/>Cheval : <br/>Club : <br/>CRE : ','mOOvIIdeo','metadesc','Deauville Grand National 06/06 au 08/06,001,Préparatoire (1,20 m),,,,,,','titre de page','','','','','',''
